51,012569695344,"Over the Top","DVD",1987,tt0093692,93,"Menahem Golan","Randy Raney,Paolo Casella,Jack Wright,Sam Scarber,Richie Giachetti,Michael Fox,Ross St. Phillip,Seth Mitchell,Dale Benson,Joe Kiel,Menahem Golan"
24,027616604194,"Rain Man","DVD",1988,tt0095953,133,"Barry Levinson","Dustin Hoffman,Tom Cruise,Valeria Golino,Gerald R. Molen,Jack Murdock,Michael D. Roberts,Ralph Seymour,Lucinda Jenney,Bonnie Hunt,Kim Robillard,Barry Levinson"
81,012236126546,"Rambo: First Blood Part II","DVD",1985,tt0089880,94,"George P. Cosmatos","Sylvester Stallone,Richard Crenna,Charles Napier,Steven Berkoff,Julia Nickson-Soul,Martin Kove,George Cheung,Andy Wood,William Ghent,Voyo Goric,George P. Cosmatos"
82,031398128861,"Rambo: First Blood Part II / Rambo III","Blu-ray",2010,tt0000000,0,"",""
16,717951000026,"Ransom","DVD",1996,tt0117438,121,"Ron Howard","Mel Gibson,Rene Russo,Brawley Nolte,Gary Sinise,Delroy Lindo,Lili Taylor,Liev Schreiber,Donnie Wahlberg,Evan Handler,Nancy Ticotin,Ron Howard"
54,024543111405,"Raw Deal","DVD",1986,tt0091828,106,"John Irvin","Arnold Schwarzenegger,Kathryn Harrold,Darren McGavin,Sam Wanamaker,Paul Shenar,Steven Hill,Joe Regalbuto,Robert Davi,Ed Lauter,Mordecai Lawner,John Irvin,Luciano Vincenzoni,Sergio Donati"
31,043396194397,"Revenge","Blu-ray",1990,tt0100485,100,"Tony Scott","Kevin Costner,Anthony Quinn,Madeleine Stowe,Miguel Ferrer,Tomas Milian,James Gammon,Jesse Corti,Joaquín Martínez,John Leguizamo,Joe Santos,Tony Scott"
60,794043441028,"Rumble in the Bronx","DVD",1996,tt0113326,104,"Stanley Tong","Jackie Chan,Anita Mui,Françoise Yip,Bill Tung,Morgan Lam,Ailen Sit,Chan Man Ching,Fred Andrucci,Mark Antoniuk,Lauro Chartrand,Stanley Tong"
65,794043109362,"Rush Hour","DVD",1998,tt0120812,97,"Brett Ratner","Ken Leung,Jackie Chan,Tom Wilkinson,Tzi Ma,Robert Littman,Michael Chow,Julia Hsu,Chris Tucker,Chris Penn,Kai Lennox,Brett Ratner"
66,794043540424,"Rush Hour 2","DVD",2001,tt0266915,91,"Brett Ratner","Jackie Chan,Chris Tucker,John Lone,Ziyi Zhang,Harris Yulin,Alan King,Kenneth Tsang,Lisa LoCicero,Mei Melançon,Maggie Q,Brett Ratner"
67,794043111617,"Rush Hour 3","DVD",2007,tt0293564,91,"Brett Ratner","Kainoa Kilcher,Xihuaru Kilcher,James LeQuang,Roman Polanski,Sarah Shahi,Don Tai,Tina Tsunoda,Noa Dori,Kayla McGee,Tanja Plecas,Brett Ratner"
78,025192401527,"Scorpion King","DVD",2002,tt0277296,92,"Chuck Russell","Dwayne Johnson,Steven Brand,Michael Clarke Duncan,Kelly Hu,Bernard Hill,Grant Heslov,Peter Facinelli,Ralf Moeller,Branscombe Richmond,Roger Rees,Chuck Russell"
61,085391231127,"Showdown in Little Tokyo","DVD",1991,tt0102915,78,"Mark L. Lester","Dolph Lundgren,Brandon Lee,Cary-Hiroyuki Tagawa,Tia Carrere,Toshirô Obata,Philip Tan,Rodney Kageyama,Ernie Lively,Renee Griffin,Reid Asato,Mark L. Lester"
85,794043105630,"Snakes on a Plane","DVD",2006,tt0417148,106,"David R. Ellis","Rachel Blanchard,Flex Alexander,Kenan Thompson,Keith Dallas,Lin Shaye,Bruce James,Sunny Mabrey,Casey Dubois,Daniel Hogarth,Gerard Plunkett,David R. Ellis"
68,025192021626,"Street Fighter","DVD",1994,tt0111301,102,"Steven E. de Souza","Jean-Claude Van Damme,Raul Julia,Ming-Na ,Damian Chapa,Kylie Minogue,Simon Callow,Roshan Seth,Wes Studi,Byron Mann,Grand L. Bush,Steven E. de Souza"
29,012569818392,"Sudden Impact","DVD",1983,tt0086383,117,"Clint Eastwood","Clint Eastwood,Sondra Locke,Pat Hingle,Bradford Dillman,Paul Drake,Audrie Neenan,Jack Thibeau,Michael Currie,Albert Popwell,Mark Keyloun,Clint Eastwood,Harry Julian Fink,Rita M. Fink"
